"category";"subCategory";"country";"parameter";"truckClass";"truckTechnology";"vehicleParameterScenario";"unit";"period";"value";"paperScen"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Rigid";"BET large battery";"LC_HTM";"kWh/100km";2030;94,5;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Rigid";"BET large battery";"LC_HTM";"kWh/100km";2030;94,5;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Rigid";"BET large battery";"LC_HTM";"kWh/100km";2030;94,5;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Rigid";"BET large battery";"LC_HTM";"kWh/100km";2030;94,5;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Rigid";"BET large battery";"LC_HTM";"kWh/100km";2030;94,5;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Rigid";"BET large battery";"LC_HTM";"kWh/100km";2030;94,5;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Rigid";"BET large battery";"LC_HTM";"kWh/100km";2030;94,5;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Rigid";"BET large battery";"MC_MTM";"kWh/100km";2030;99;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Rigid";"BET large battery";"MC_MTM";"kWh/100km";2030;99;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Rigid";"BET large battery";"MC_MTM";"kWh/100km";2030;99;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Rigid";"BET large battery";"MC_MTM";"kWh/100km";2030;99;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Rigid";"BET large battery";"MC_MTM";"kWh/100km";2030;99;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Rigid";"BET large battery";"MC_MTM";"kWh/100km";2030;99;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Rigid";"BET large battery";"MC_MTM";"kWh/100km";2030;99;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Rigid";"BET large battery";"HC_LTM";"kWh/100km";2030;108;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Rigid";"BET large battery";"HC_LTM";"kWh/100km";2030;108;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Rigid";"BET large battery";"HC_LTM";"kWh/100km";2030;108;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Rigid";"BET large battery";"HC_LTM";"kWh/100km";2030;108;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Rigid";"BET large battery";"HC_LTM";"kWh/100km";2030;108;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Rigid";"BET large battery";"HC_LTM";"kWh/100km";2030;108;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Rigid";"BET large battery";"HC_LTM";"kWh/100km";2030;108;"Current policies"
"OPEX";"Energy";"DE";"Specific Energy Consumption";"Rigid";"BET small battery";"LC_HTM";"kWh/100km";2030;90;"Current policies"
"OPEX";"Energy";"ES";"Specific Energy Consumption";"Rigid";"BET small battery";"LC_HTM";"kWh/100km";2030;90;"Current policies"
"OPEX";"Energy";"FR";"Specific Energy Consumption";"Rigid";"BET small battery";"LC_HTM";"kWh/100km";2030;90;"Current policies"
"OPEX";"Energy";"IT";"Specific Energy Consumption";"Rigid";"BET small battery";"LC_HTM";"kWh/100km";2030;90;"Current policies"
"OPEX";"Energy";"NL";"Specific Energy Consumption";"Rigid";"BET small battery";"LC_HTM";"kWh/100km";2030;90;"Current policies"
"OPEX";"Energy";"PL";"Specific Energy Consumption";"Rigid";"BET small battery";"LC_HTM";"kWh/100km";2030;90;"Current policies"
"OPEX";"Energy";"UK";"Specific Energy Consumption";"Rigid";"BET small battery";"LC_HTM";"kWh/100km";2030;90;"Current policies"
